label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,Comment,elevation
APC001,240.4585,-0.94678,APC,1,25,32.0,APC -- tiny ~25m,5845.516289233242
APC003,237.696,-12.47266,APC,1,30,47.0,APC 40m small deep nochain--big smrp?,10500.439388911564
APC005,240.8867,-5.68445,APC,1,30,17.0,APC deep pair,10144.570833539166
APC006,240.9421,-1.61377,APC,1,40,38.0,APC small deep?,6446.1238035272045
APC007,241.2993,-1.68555,APC,1,40,28.0,"APC, deep? ~40m",6610.563531326868
APC008,241.7492,-6.64679,APC,1,40,50.0,APC deep,11017.000076035192
APC009,244.2588,-1.28809,APC,1,40,45.0,APC ~ small deep,7473.616109916817
APC010,241.3897,-2.71338,APC,1,45,30.0,"APC, deep ~45m",7119.52897428515
APC011,243.2452,-4.50244,APC,1,45,34.0,APC irregular 119x45,8169.741556585549
APC012,244.2749,-1.08203,APC,1,45,48.0,"APC ~ small deep, faint graben?",7445.583566224261
APC013,244.2788,-1.12158,APC,1,45,50.0,"APC ~ small deep, faint graben?",7456.469775340143
APC014,236.3418,-13.89099,APC,1,50,75.0,APC nochain deep,8453.541676423309
APC015,243.7466,-6.17554,APC,1,75,66.0,"APC - deep, ~ 75x55m",8301.647090930612
APC016,243.0341,-4.20642,APC,0,55,35.0,APC - deep - 60m >.65 d/D,8027.260542565733
APC017,243.372,-5.88489,APC,1,55,33.0,APC deep,8819.19053829606
APC018,236.7605,-13.86035,APC,1,60,85.0,APC irregular nochain deep,9051.112557001828
APC020,240.5234,-1.05363,APC,1,70,53.0,CTX images not very clear.,5938.9164015290735
APC021,241.0972,-1.57715,APC,1,60,44.0,"APC, deep",6485.345144219414
APC022,242.085,-2.86392,APC,1,65,31.0,Small APC probably Type II,7257.002729449308
APC023,242.63,-5.29,APC,1,60,46.0,APC,9270.492543999924
APC024,245.7545,11.83345,APC,1,60,27.0,50m half-filled APC?,2386.385485810375
APC025,250.1067,4.13696,APC,1,60,88.0,APC -- Deep d/D > 1.4,5096.021170347309
APC026,257.1238,12.6433,APC,1,60,48.0,Ascraeus NE flank 60m APC in chain with largers,10708.2577836794
APC027,235.1852,0.87524,APC,1,65,96.0,APC deep nochain,3751.670490362704
APC028,236.3438,-21.41626,APC,1,65,49.0,"APC,  AA",4000.916280071799
APC029,240.723,-18.73004,APC,1,65,80.0,APC deep nochain,5734.65306525899
APC030,240.895,-5.68079,APC,1,65,38.0,APC deep pair,10146.971424836176
APC032,242.246,-2.71902,APC,1,70,38.0,Small APC - dark interior with sharp edge.,7198.025614904468
APC033,240.4639,-0.95215,APC,1,70,89.0,"APC -- deep, ~70m",5853.475507157115
APC034,236.42,-13.6,APC,1,75,50.0,APC -- end chain deep,8845.13200000008
APC035,237.9064,-18.10693,APC,1,75,76.0,"APC, irregular heart shape in AA? ~ questionable, just a dark floor?",5555.987591212003
APC038,241.5786,-1.85474,APC,1,80,44.0,APC ~ squarish pit,6795.896254629443
APC039,255.6328,7.1543,APC,1,80,71.0,APC,6179.396128542213
