site_id,latitude,longitude,ice_exposure,d_icy,d_nonicy,reference,crism_ice,notes,color,image
Site P2,47.72,225.13,Possible,x,7.75,ESP_026248_2280,x,Ring-shaped color anomaly. Never strong and not fully faded over four MY.,#FFAA00,https://www.uahirise.org/ESP_026248_2280
Site P3,40.12,157.93,Possible,x,8,ESP_026989_2205,x,Relatively-blue crater wall became less distinct but seems to correlate with blast zone fading.,#FFAA00,https://www.uahirise.org/ESP_026989_2205
Site P4,53.58,228.3,Possible,x,6,ESP_034186_2340,x,Crater with an anomalously bright illuminated wall but no convincing evidence for fading over time.,#FFAA00,https://www.uahirise.org/ESP_034186_2340
Site P7,57.24,358.02,Probable,x,1.75,ESP_037069_2375,x,One 1.5-m crater has an anomalous relatively-blue crater wall. Classified as probable given the small size.,#FFFF00,https://www.uahirise.org/ESP_037069_2375
Site P9,75.42,57.24,Probable,x,Uncertain,ESP_044992_2555,x,Multiple follow-on images show widespread bright patches throughout the image persisting through the summer. May be exposed ice. Candidate Impact looks somewhat distinct from these non-impact features but not considered definitive.,#FFFF00,https://www.uahirise.org/ESP_044992_2555
Site P10,54.89,254.55,Possible,x,2,ESP_045539_2350,x,Slight relatively-blue glint within the crater. Bright spot not apparent in later image but blast pattern also erased.,#FFAA00,https://www.uahirise.org/ESP_045539_2350
Site P11,63.82,26.07,Probable,x,2,ESP_046378_2440,x,Relatively-blue glint that later faded. Classified as probable because of small size and concurrent fading of blast zone.,#FFFF00,https://www.uahirise.org/ESP_046378_2440
Site P12,-42.58,226.83,Probable,x,5.5,ESP_049061_1370,x,Slight color anomaly. Later faded but not distinctive enough to raise above probable.,#FFFF00,https://www.uahirise.org/ESP_049061_1370
Site P13,-52.09,109.24,Possible,x,4.5;4,ESP_050239_1275,x,Some crater walls appear slightly bright. No follow-up image.,#FFAA00,https://www.uahirise.org/ESP_050239_1275
Site P14,-72.64,109.64,Possible,x,3.5,ESP_050437_1070,x,Initial image low quality but crater wall slightly bright. All subsequent images post-date seasonal cap.,#FFAA00,https://www.uahirise.org/ESP_050437_1070
Site P16,45.99,209.71,Possible,x,5.75,ESP_052872_2265,x,Relatively-blue material. Fainter in follow-on image but blast zone also less distinct.,#FFAA00,https://www.uahirise.org/ESP_052872_2265
Site P17,60.82,241.14,Possible,x,2.5,ESP_054031_2410,x,Weak relatively-blue color anomaly. Follow-on post-dates seasonal cap and planet-encircling dust storm.,#FFAA00,https://www.uahirise.org/ESP_054031_2410
Site P18,-61.59,171.57,Possible,x,3,ESP_059283_1180,x,Bright spot on sun-facing crater wall.,#FFAA00,https://www.uahirise.org/ESP_059283_1180
Site P19,46.94,225.59,Possible,x,5.75;4.75,ESP_061997_2275,x,Relatively-blue bright pixel.,#FFAA00,https://www.uahirise.org/ESP_061997_2275
Site P20,71.15,94.14,Probable,x,Uncertain,ESP_053100_2515,x,Relatively-blue patches approximately match location of dark spot in CTX but not considered definitive due to lack of well-defined crater.,#FFFF00,https://www.uahirise.org/ESP_053100_2515
Site P21,-41.26,287.67,Possible,x,10.75,ESP_063406_1385,x,Ejecta is bright but mostly relatively-yellow.,#FFAA00,https://www.uahirise.org/ESP_063406_1385
Site P22,40.32,221.22,Possible,x,7.25;5.75;5,ESP_011295_2205,n,Slight color anomaly but feature has not faded significantly over five MY.,#FFAA00,https://www.uahirise.org/ESP_011295_2205
Site P23,39.38,149.37,Possible,x,22,ESP_016203_2195,x,"Some relatively-blue material, but only partially faded over three MY despite low latitude.",#FFAA00,https://www.uahirise.org/ESP_016203_2195
Site P24,43.78,203.31,Possible,x,5.25;4,ESP_016557_2240,n,Crater walls slightly bright/blue but remain so after five MY.,#FFAA00,https://www.uahirise.org/ESP_016557_2240
Site P25,37.34,182.19,Possible,x,8,ESP_019195_2175,n,Faint color anomaly which remains bright after five MY. Unlikely to be ice.,#FFAA00,https://www.uahirise.org/ESP_019195_2175
Site P26,42.77,204.27,Possible,x,5,ESP_036666_2230,n,Minor color feature.,#FFAA00,https://www.uahirise.org/ESP_036666_2230
